SUCCESS 100 out of 100 items returned
Mission|Sensor|Product|COLLECTION|Status|Start|Stop|Orbit|Track|Frame|Swath|Station|PASSTIME|Pass|SCENE_CENTER|FOOTPRINT|ACQUISITIONDESCRIPTOR|THUMBNAIL_URL|PRODUCT_TYPE|CLOUD_COVER_PERCENTAGE|SNOW_COVER_PERCENTAGE|IMAGE_QUALITY_DEGRATATION
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 17:56:06.27|2011-08-28 18:00:37.45|49653|70||I6||2196288/2467468|D|40.92 -117.66|48.99 -116.26 48.88 -115.25 45.89 -116.02 42.34 -116.88 38.79 -117.7 35.24 -118.48 32.83 -119.01 32.95 -119.79 35.35 -119.29 38.9 -118.54 42.45 -117.77 46 -116.97 48.99 -116.26|ENVISAT-1-11082817560627-43118.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T175606270-20110828T180037450_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 23:19:50.52|2011-08-28 23:20:23.14|49656|73||I4||3578677/3611297|D|-34.13 150.62|-33.07 150.5 -33.29 151.4 -35.2 150.74 -34.98 149.82 -33.07 150.5|ENVISAT-1-11082823195052-3262.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T231950520-20110828T232023140_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 00:39:13.47|2011-08-29 00:40:59.58|49657|74||I6||2327733/2433843|D|38.03 141.47|41.22 141.73 41.11 142.6 37.61 141.81 34.82 141.2 34.94 140.39 37.72 140.98 41.22 141.73|ENVISAT-1-11082900391347-14611.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T003913470-20110829T004059580_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 02:19:37.97|2011-08-29 02:20:29.84|49658|75||I3||2338300/2390170|D|38.67 118.92|40.28 118.85 40.13 119.78 37.06 118.98 37.21 118.09 40.28 118.85|ENVISAT-1-11082902193797-5187.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T021937970-20110829T022029840_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 05:38:13.02|2011-08-29 05:42:24.50|49660|77||I6||2225302/2476782|D|39.79 66.67|47.27 67.92 47.16 68.89 44.11 68.14 40.57 67.3 37.01 66.5 33.46 65.72 32.28 65.47 32.4 64.69 33.58 64.94 37.13 65.67 40.68 66.43 44.23 67.22 47.27 67.92|ENVISAT-1-11082905381302-41148.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T053813020-20110829T054224500_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 07:19:45.42|2011-08-29 07:24:03.18|49661|78||I6||2303689/2561449|D|34.96 40.57|42.64 41.8 42.53 42.69 39.38 41.97 35.83 41.18 32.27 40.41 28.71 39.66 27.25 39.35 27.38 38.61 28.83 38.91 32.39 39.63 35.94 40.37 39.5 41.12 42.64 41.8|ENVISAT-1-11082907194542-41776.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T071945420-20110829T072403180_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 08:26:35.79|2011-08-29 08:27:14.61|49662|79||I2||300096/338916|A|19.59 -155.62|18.52 -154.89 18.33 -155.84 20.64 -156.35 20.83 -155.39 18.52 -154.89|ENVISAT-1-11082908263579-3882.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T082635790-20110829T082714610_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 08:58:22.47|2011-08-29 09:04:57.04|49662|79||I6||2206795/2601365|D|36.65 15.88|48.37 18.07 48.26 19.06 45.29 18.31 41.75 17.46 38.2 16.65 34.64 15.87 31.09 15.11 27.52 14.36 24.88 13.81 25.01 13.08 27.65 13.62 31.2 14.34 34.76 15.07 38.31 15.81 41.86 16.58 45.41 17.38 48.37 18.07|ENVISAT-1-11082908582247-63457.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T085822470-20110829T090457040_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 09:00:09.94|2011-08-29 09:01:27.94|49662|79||I6||2314265/2392265|D|39.65 16.53|42.02 16.61 41.91 17.49 38.79 16.78 37.29 16.45 37.4 15.62 38.9 15.94 42.02 16.61|ENVISAT-1-11082909000994-11800.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T090009940-20110829T090127940_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-29 17:19:44.81|2011-08-29 17:23:41.37|49667|84||I6||2219307/2455867|D|40.58 -108.54|47.63 -107.4 47.52 -106.42 44.11 -107.26 40.57 -108.1 37.01 -108.9 33.52 -109.67 33.64 -110.45 37.13 -109.73 40.68 -108.97 44.23 -108.18 47.63 -107.4|ENVISAT-1-11082917194481-35656.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110829T171944810-20110829T172341370_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 03:26:23.43|2011-08-30 03:26:56.06|49673|90||I4||2534235/2566865|D|27.75 99.67|28.8 99.44 28.65 100.31 26.71 99.89 26.86 99.03 28.8 99.44|ENVISAT-1-11083003262343-3263.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T032623430-20110830T032656060_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 05:02:26.64|2011-08-30 05:05:52.40|49674|91||I6||2283401/2489161|D|37.7 75.4|43.85 76.32 43.73 77.23 40.57 76.49 37.01 75.69 33.46 74.91 31.55 74.5 31.66 73.73 33.58 74.13 37.13 74.86 40.68 75.62 43.85 76.32|ENVISAT-1-11083005022664-32576.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T050226640-20110830T050552400_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 06:50:03.76|2011-08-30 06:52:20.45|49675|92||I2||2726498/2863188|D|12.92 47.94|17.08 48.35 16.89 49.3 13.89 48.64 10.32 47.87 8.75 47.52 8.94 46.61 10.51 46.95 14.09 47.71 17.08 48.35|ENVISAT-1-11083006500376-21669.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T065003760-20110830T065220450_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 08:24:41.61|2011-08-30 08:25:15.16|49676|93||I6||2390384/2423934|D|36.46 25.02|37.51 24.82 37.4 25.65 35.41 25.21 35.52 24.4 37.51 24.82|ENVISAT-1-11083008244161-3355.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T082441610-20110830T082515160_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 08:26:42.12|2011-08-30 08:31:31.98|49676|93||I6||2510894/2800754|D|21.71 21.97|30.37 23.35 30.25 24.1 26.93 23.41 23.37 22.68 19.8 21.95 16.23 21.21 13.03 20.55 13.16 19.88 16.36 20.54 19.93 21.25 23.49 21.97 27.05 22.68 30.37 23.35|ENVISAT-1-11083008264212-44986.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T082642120-20110830T083131980_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 10:00:35.64|2011-08-30 10:01:29.02|49677|94||I6||2130480/2183860|D|51.23 3.45|52.86 3.33 52.75 4.43 49.61 3.54 49.72 2.53 52.86 3.33|ENVISAT-1-11083010003564-5338.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T100035640-20110830T100129020_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 16:44:44.78|2011-08-30 16:45:16.49|49681|98||I6||2323766/2355476|D|40.46 -99.39|41.45 -99.62 41.34 -98.74 39.46 -99.18 39.58 -100.03 41.45 -99.62|ENVISAT-1-11083016444478-3171.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T164444780-20110830T164516490_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-30 18:21:14.32|2011-08-30 18:25:36.87|49682|99||I6||2099262/2361812|D|46.91 -122.94|54.7 -121.46 54.59 -120.33 51.19 -121.31 47.66 -122.25 44.11 -123.13 40.57 -123.97 39.09 -124.31 39.21 -125.16 40.68 -124.84 44.23 -124.05 47.77 -123.23 51.31 -122.36 54.7 -121.46|ENVISAT-1-11083018211432-42255.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110830T182114320-20110830T182536870_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 02:46:35.46|2011-08-31 02:48:25.25|49687|104||I6||2350744/2460534|D|36.55 109.41|39.86 109.69 39.74 110.55 36.42 109.81 33.24 109.11 33.36 108.33 36.54 108.99 39.86 109.69|ENVISAT-1-11083102463546-14979.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T024635460-20110831T024825250_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 02:48:32.71|2011-08-31 02:49:19.57|49687|104||I2||2467994/2514854|D|30.97 111.3|32.46 111.11 32.27 112.18 29.49 111.49 29.68 110.45 32.46 111.11|ENVISAT-1-11083102483271-4686.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T024832710-20110831T024919570_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 04:25:09.22|2011-08-31 04:31:52.68|49688|105||I6||2250480/2653940|D|33.8 83.76|45.79 85.95 45.68 86.89 42.34 86.09 38.79 85.27 35.24 84.49 31.68 83.72 28.12 82.97 24.55 82.23 21.76 81.65 21.88 80.95 24.68 81.51 28.24 82.23 31.8 82.95 35.35 83.68 38.9 84.43 42.45 85.2 45.79 85.95|ENVISAT-1-11083104250922-64346.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T042509220-20110831T043152680_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 07:47:30.18|2011-08-31 07:51:20.98|49690|107||I6||2363423/2594223|D|32.22 33.31|39.11 34.35 38.99 35.19 35.83 34.5 32.27 33.73 28.71 32.98 25.31 32.27 25.43 31.54 28.83 32.23 32.39 32.95 35.94 33.69 39.11 34.35|ENVISAT-1-11083107473018-35080.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T074730180-20110831T075120980_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 07:50:55.69|2011-08-31 07:54:53.79|49690|107||I6||2568933/2807033|D|19.8 30.77|26.93 31.84 26.81 32.57 23.37 31.87 19.8 31.14 16.23 30.4 12.66 29.67 12.65 29.66 12.79 28.99 12.8 29 16.36 29.73 19.93 30.44 23.49 31.16 26.93 31.84|ENVISAT-1-11083107505569-35810.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T075055690-20110831T075453790_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 09:19:26.82|2011-08-31 09:20:27.89|49691|108||I6||1866129/1927199|D|66.52 17.9|68.37 17.92 68.23 19.7 65.28 18.16 64.67 17.87 64.8 16.32 65.4 16.57 68.37 17.92|ENVISAT-1-11083109192682-10107.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T091926820-20110831T092027890_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 09:24:33.73|2011-08-31 09:26:08.16|49691|108||I6||2173039/2267469|D|47.51 11.68|50.36 11.86 50.24 12.9 47.07 12.07 44.67 11.47 44.79 10.54 47.18 11.1 50.36 11.86|ENVISAT-1-11083109243373-13443.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T092433730-20110831T092608160_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 09:24:33.73|2011-08-31 09:32:03.49|49691|108||I6||2173039/2622799|D|37.01 9.27|50.36 11.86 50.24 12.9 47.07 12.07 43.52 11.19 39.97 10.36 36.42 9.57 32.86 8.79 29.31 8.04 25.74 7.3 23.61 6.86 23.73 6.14 25.87 6.57 29.43 7.29 32.98 8.01 36.54 8.75 40.09 9.5 43.64 10.28 47.18 11.1 50.36 11.86|ENVISAT-1-11083109243373-72976.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T092433730-20110831T093203490_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 09:26:06.93|2011-08-31 09:26:54.93|49691|108||I6||2266239/2314239|D|43.38 10.69|44.86 10.56 44.74 11.49 41.91 10.8 42.02 9.92 44.86 10.56|ENVISAT-1-11083109260693-4800.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T092606930-20110831T092654930_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 11:10:36.31|2011-08-31 11:12:39.66|49692|109||I6||2521716/2645066|D|26.01 -18.07|29.74 -17.7 29.62 -16.95 26.34 -17.63 22.77 -18.36 22.29 -18.47 22.41 -19.17 22.9 -19.07 26.46 -18.36 29.74 -17.7|ENVISAT-1-11083111103631-20335.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T111036310-20110831T111239660_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 13:50:17.02|2011-08-31 13:52:59.41|49694|111||I2||74569/236959|A|9.83 124.64|5.08 126.14 4.89 125.23 8.2 124.52 11.78 123.74 14.57 123.13 14.76 124.06 11.97 124.67 8.39 125.43 5.08 126.14|ENVISAT-1-11083113501702-24239.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T135017020-20110831T135259410_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 16:44:26.65|2011-08-31 16:44:58.32|49695|112||I4||4510155/4541825|D|-77.36 165.25|-77.02 169.62 -77.82 169.64 -77.82 169.55 -77.81 169.51 -77.64 160.68 -76.85 161.22 -77.01 169.56 -77.02 169.53 -77.02 169.62|ENVISAT-1-11083116442665-3167.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T164426650-20110831T164458320_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 17:44:30.31|2011-08-31 17:49:38.14|49696|113||I6||2099751/2407581|D|45.54 -114.09|54.67 -112.29 54.56 -111.15 51.19 -112.13 47.66 -113.07 44.11 -113.95 40.57 -114.79 37.01 -115.59 36.38 -115.73 36.5 -116.55 37.13 -116.42 40.68 -115.66 44.23 -114.87 47.77 -114.05 51.31 -113.18 54.67 -112.29|ENVISAT-1-11083117443031-50783.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T174430310-20110831T174938140_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 17:49:54.98|2011-08-31 17:50:26.54|49696|113||I2||2424421/2455981|D|34.02 -113.48|35.05 -113.8 34.86 -112.69 32.98 -113.17 33.17 -114.25 35.05 -113.8|ENVISAT-1-11083117495498-3156.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T174954980-20110831T175026540_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 20:28:58.25|2011-08-31 20:29:30.92|49697|114||I5||5953678/5986348|A|-1.62 29|-2.52 29.49 -2.65 28.95 -0.7 28.51 -0.58 29.05 -2.52 29.49|ENVISAT-1-11083120285825-3267.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T202858250-20110831T202930920_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-31 23:08:48.99|2011-08-31 23:09:20.71|49699|116||I7||3516570/3548290|D|-30.01 152.5|-29.01 152.53 -29.15 153.1 -31.01 152.47 -30.86 151.89 -29.01 152.53|ENVISAT-1-11083123084899-3172.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110831T230848990-20110831T230920710_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-09-01 02:14:26.62|2011-09-01 02:14:59.29|49701|118||I7||2626383/2659053|D|22.59 115.1|23.6 115.02 23.51 115.57 21.57 115.18 21.66 114.64 23.6 115.02|ENVISAT-1-11090102142662-3267.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110901T021426620-20110901T021459290_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-09-01 03:48:35.94|2011-09-01 03:52:18.90|49702|119||I6||2261699/2484659|D|38.48 93.95|45.13 94.99 45.01 95.92 41.75 95.14 38.2 94.33 34.64 93.55 31.81 92.94 31.93 92.16 34.76 92.75 38.31 93.49 41.86 94.26 45.13 94.99|ENVISAT-1-11090103483594-34296.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110901T034835940-20110901T035218900_D_T-XI0B.jpg||||
